0x00, 0x60, 0x38, 0x3e, 0x38, 0x60, 0x00, 0x00, 
0x00, 0x20, 0x10, 0x18, 0x7c, 0x0e, 0x00, 0x00, 
0x00, 0x08, 0x08, 0x1c, 0x7c, 0x1e, 0x06, 0x00, 
0x00, 0x08, 0x48, 0x38, 0x1c, 0x0c, 0x04, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0xc0, 0xe0, 0xf0, 0xf8, 0xd8, 0xa0, 
0x70, 0xf0, 0xf0, 0xf8, 0xf8, 0xf8, 0xf8, 0xf0, 
0xf0, 0x60, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x80, 0x44, 0x7c, 0x38, 0x38, 0x10, 0x10, 0x00, 
0x00, 0x10, 0x12, 0x1c, 0x38, 0x30, 0x20, 0x00, 
0x00, 0x10, 0x10, 0x38, 0x3e, 0x78, 0x60, 0x00, 
0x00, 0x04, 0x08, 0x18, 0x3e, 0x70, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x0f, 0x1f, 0xbf, 0xbf, 0xbf, 0x5f, 
0x6f, 0xff, 0xff, 0xff, 0xff, 0xef, 0xd3, 0xfd, 
0xf0, 0xc0, 0x80, 0x80, 0x00, 0x00, 0x00, 0x00, 
0x01, 0x06, 0x1c, 0x7c, 0x1c, 0x06, 0x00, 0x00, 
0x00, 0x00, 0x70, 0x3e, 0x18, 0x08, 0x04, 0x00, 
0x00, 0x60, 0x78, 0x3e, 0x38, 0x10, 0x10, 0x00, 
0x00, 0x20, 0x30, 0x38, 0x1c, 0x12, 0x10, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x0c, 0x1f, 0x3f, 0x1f, 0x0f, 
0x0f, 0x0e, 0x0f, 0x1f, 0x7f, 0x7d, 0x7c, 0x33, 
0x0f, 0x3f, 0x3f, 0x1f, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x10, 0x10, 0x38, 0x38, 0x7c, 0x44, 0x00, 
0x00, 0x04, 0x0c, 0x1c, 0x38, 0x48, 0x08, 0x00, 
0x00, 0x06, 0x1e, 0x7c, 0x1c, 0x08, 0x08, 0x00, 
0x00, 0x00, 0x0e, 0x7c, 0x18, 0x10, 0x20, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0xb8, 0x78, 0xf8, 0xf8, 0xf8, 
0xf0, 0xf0, 0xf0, 0xe0, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x38, 0x38, 0x10, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0xc0, 0xe0, 0xf0, 0xf0, 
0xe0, 0xc0, 0x80, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x1f, 0x1f, 0x3f, 0x3e, 0x3e, 0x3d, 
0x2f, 0x37, 0x37, 0x37, 0x3a, 0x3c, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x34, 0x18, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x3c, 0xff, 0xff, 0xef, 0xdf, 
0x3f, 0xdf, 0xef, 0xff, 0x7e, 0xbe, 0x5c, 0xec, 
0xf4, 0xf8, 0xf8, 0xfc, 0xfc, 0x7e, 0x04, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0xc0, 0xf0, 0x78, 
0xf8, 0xf8, 0xf0, 0xc0, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x1c, 0x38, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x01, 0x0f, 0x3f, 
0x3f, 0x1c, 0x1b, 0x17, 0x0f, 0x1f, 0x3f, 0x7e, 
0x7e, 0x3f, 0x3f, 0x1f, 0x0f, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x07, 0x0b, 0x1d, 0x1e, 
0x1f, 0x1f, 0x39, 0x3e, 0x3f, 0x1e, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x6c, 0x78, 0x60, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
